adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Cameroon,Adamaoua,Djerem,193605,2,135524,48401,9680,0,0,9680,2,2,NA,NA,11.2,16.8,72,2,72,8,9.6,4,6.4,3,NA,NA,NA,NA,NA,NA,44.8,17.6,28.8,8.8,3,38.4,47.2,14.4,2
Cameroon,Adamaoua,Faro-Et-Deo,128169,1,115352,10254,2563,0,0,2563,1,1,NA,NA,5.8,15.5,78.7,2,73.7,6.4,7.7,5.1,7.1,2,NA,NA,NA,NA,NA,NA,77.2,10.6,6.7,5.6,2,73.9,25.6,0.6,2
Cameroon,Adamaoua,Mayo-Banyo,289857,2,188407,86957,14493,0,0,14493,2,3,NA,NA,6.4,45.5,48.2,2,65.5,15.5,6.4,7.3,5.5,2,NA,NA,NA,NA,NA,NA,59.1,20,4.5,16.4,3,61.8,30,8.2,2
Cameroon,Adamaoua,Mbere,266001,2,172900,79800,13300,0,0,13300,2,2,NA,NA,13.3,35.6,51.1,3,55.6,10,6.7,1.1,26.7,5,NA,NA,NA,NA,NA,NA,81.1,2.2,12.2,4.4,1,64.4,28.9,6.7,2
Cameroon,Adamaoua,Vina,492564,1,418679,59108,14777,0,0,14777,1,1,NA,NA,1.4,3.6,95,1,86.5,5.4,3.6,1.8,2.7,1,NA,NA,NA,NA,NA,NA,79.3,5.4,9,6.3,2,59.5,31.5,9,2
Cameroon,Centre,Haute Sanaga,147496,2,98822,44249,4425,0,0,4425,2,1,NA,NA,20.6,51.5,27.8,4,42.3,10.3,10.3,10.3,26.8,5,NA,NA,NA,NA,NA,NA,100,0,0,0,1,89,8,3,1
Cameroon,Centre,Lekie,420432,1,365776,42043,12613,0,0,12613,2,1,NA,NA,15,35,50,3,72.5,8.8,10,5,3.8,2,NA,NA,NA,NA,NA,NA,71.2,7.5,15,6.2,3,36.2,56.2,7.5,2
Cameroon,Centre,Mbam Et Inoubou,277682,3,122180,88858,58313,8330,0,66644,3,3,NA,NA,12.5,25.3,62.1,3,58.2,16.2,11.9,7.2,6.6,3,NA,NA,NA,NA,NA,NA,81.2,4.9,8.6,5.3,1,55.5,35.7,8.8,2
Cameroon,Centre,Mbam Et Kim,155078,2,110105,38770,6203,0,0,6203,2,2,NA,NA,12.5,25.3,62.1,3,58.2,16.2,11.9,7.2,6.6,3,NA,NA,NA,NA,NA,NA,81.2,4.9,8.6,5.3,1,55.5,35.7,8.8,2
Cameroon,Centre,Mefou Et Akono,86742,2,48576,30360,6939,867,0,7807,3,1,NA,NA,12.5,25.3,62.1,3,58.2,16.2,11.9,7.2,6.6,3,NA,NA,NA,NA,NA,NA,81.2,4.9,8.6,5.3,1,55.5,35.7,8.8,2
Cameroon,Centre,Mefou Et Afamba,185230,1,157445,24080,3705,0,0,3705,1,1,NA,NA,12.5,25.3,62.1,3,58.2,16.2,11.9,7.2,6.6,3,NA,NA,NA,NA,NA,NA,81.2,4.9,8.6,5.3,1,55.5,35.7,8.8,2
Cameroon,Centre,Mfoundi,2765952,2,1853188,691488,221276,0,0,221276,2,2,NA,NA,5.2,20.6,74.2,2,72.2,10.3,9.3,6.7,1.5,2,NA,NA,NA,NA,NA,NA,67,5.7,17.5,9.8,3,58.8,32.5,8.8,2
Cameroon,Centre,Nyong Et Kelle,190806,2,139288,43885,7632,0,0,7632,2,1,NA,NA,12.5,25.3,62.1,3,58.2,16.2,11.9,7.2,6.6,3,NA,NA,NA,NA,NA,NA,81.2,4.9,8.6,5.3,1,55.5,35.7,8.8,2
Cameroon,Centre,Nyong Et Mfoumou,153603,2,115202,30721,7680,0,0,7680,2,1,NA,NA,12.5,25.3,62.1,3,58.2,16.2,11.9,7.2,6.6,3,NA,NA,NA,NA,NA,NA,81.2,4.9,8.6,5.3,1,55.5,35.7,8.8,2
Cameroon,Centre,Nyong Et So'o,170436,1,149984,17044,3409,0,0,3409,2,1,NA,NA,12.5,25.3,62.1,3,58.2,16.2,11.9,7.2,6.6,3,NA,NA,NA,NA,NA,NA,81.2,4.9,8.6,5.3,1,55.5,35.7,8.8,2
Cameroon,Est,Boumba-Et-Ngoko,169546,2,123769,37300,8477,0,0,8477,2,2,NA,NA,19,22.6,58.3,3,71.5,13.4,4.4,3.4,7.2,2,NA,NA,NA,NA,NA,NA,64.1,13.5,12.9,9.4,3,39.6,51.8,8.6,2
Cameroon,Est,Haut-Nyong,288841,1,239738,34661,14442,0,0,14442,2,1,NA,NA,37.7,37,25.3,4,58.9,12.3,4.8,4.8,19.2,4,NA,NA,NA,NA,NA,NA,81.5,8.9,6.4,3.2,1,50.3,46.5,3.2,2
Cameroon,Est,Kadey,270584,2,189409,67646,13529,0,0,13529,2,2,NA,NA,20.8,28.7,50.5,4,56.4,29.7,5.9,5,3,2,NA,NA,NA,NA,NA,NA,70.3,12.9,15.8,1,2,36.6,55.4,7.9,2
Cameroon,Est,Lom Et Djerem,405343,2,283740,101336,20267,0,0,20267,2,3,NA,NA,9.1,13.4,77.5,2,82.3,8.6,4.3,2.4,2.4,1,NA,NA,NA,NA,NA,NA,54.5,12.4,15.8,17.2,3,35.4,51.7,12.9,2
Cameroon,Extreme-Nord,Diamare,925168,1,767889,138775,18503,0,0,18503,1,1,NA,NA,2.5,24.5,73,1,59.5,22.5,11.5,5,1.5,2,NA,NA,NA,NA,NA,NA,77,18,3.5,1.5,2,82.5,15,2.5,1
Cameroon,Extreme-Nord,Logone Et Chari,701550,2,406899,182403,105233,7016,0,112248,2,2,3,NA,6,19.4,74.6,2,77.1,16.9,4,1.5,0.5,2,NA,NA,NA,NA,NA,NA,53.2,26.4,15.9,4.5,3,60,19,21,3
Cameroon,Extreme-Nord,Mayo Danay,762145,2,594473,144808,22864,0,0,22864,2,2,NA,NA,7,27.9,65.2,2,51.7,24.4,15.4,6.5,2,3,NA,NA,NA,NA,NA,NA,67.7,19.4,6.5,6.5,2,83,11,6,1
Cameroon,Extreme-Nord,Mayo-Kani,582918,1,512968,58292,11658,0,0,11658,1,1,NA,NA,2.5,30,67.5,1,47.5,34.5,15.5,2.5,0,2,NA,NA,NA,NA,NA,NA,89.5,3.5,3.5,3.5,1,95.5,4.5,0,1
Cameroon,Extreme-Nord,Mayo-Tsanaga,1008352,1,887350,100835,20167,0,0,20167,1,1,NA,NA,4,39.5,56.5,1,32,34,20.5,12,1.5,3,NA,NA,NA,NA,NA,NA,80.5,2.5,9,8,1,93.5,5,1.5,1
Cameroon,Extreme-Nord,Mayo-Sava,502598,2,251299,175909,65338,10052,0,75390,3,2,NA,NA,11.5,56,32.5,3,31,27,26,14.5,1.5,3,NA,NA,NA,NA,NA,NA,67.5,20.5,4.5,7.5,2,72,25.5,2.5,2
Cameroon,Littoral,Moungo,557403,3,267553,167221,100333,22296,0,122629,3,4,NA,NA,17.1,24.9,58.1,3,56.7,15.2,17.5,8.3,2.3,3,NA,NA,NA,NA,NA,NA,43.8,10.6,13.4,32.3,4,43.8,37.3,18.9,2
Cameroon,Littoral,Nkam,53985,2,38869,9717,5399,0,0,5399,2,2,NA,NA,19.9,29.8,50.3,3,58,15.4,14.2,6.9,5.5,3,NA,NA,NA,NA,NA,NA,58.9,13.2,13.2,14.7,3,50.3,39.6,10.1,2
Cameroon,Littoral,Sanaga-Maritime,238568,2,162226,59642,16700,0,0,16700,2,2,NA,NA,16.7,42.1,41.3,3,60.3,20.6,15.1,1.6,2.4,2,NA,NA,NA,NA,NA,NA,50.8,31,17.5,0.8,2,56.3,42.9,0.8,2
Cameroon,Littoral,Wouri,2839590,2,1902525,709898,227167,0,0,227167,2,1,NA,NA,25.1,20.5,54.4,4,61,14.4,10.8,7.7,6.2,3,NA,NA,NA,NA,NA,NA,73.6,7.5,11.4,7.5,2,52.2,39.3,8.5,2
Cameroon,Northwest,Boyo,183557,3,84436,55067,38547,5507,0,44054,3,3,NA,NA,32.4,34.5,33.1,4,19.6,16.9,35.1,16.9,11.5,4,NA,NA,NA,NA,NA,NA,71.6,12.8,8.8,6.8,2,65.5,29.1,5.4,2
Cameroon,Nord-Ouest,Bui,473225,3,189290,141968,108842,33126,0,141968,3,4,NA,NA,22.5,43.7,33.8,4,60.6,19.7,10.6,7,2.1,2,NA,NA,NA,NA,NA,NA,63.4,10.6,3.5,22.5,4,69,28.2,2.8,2
Cameroon,Nord-Ouest,Donga-Mantung,396740,3,182500,119022,87283,7935,0,95218,3,2,NA,NA,3.1,57.1,39.8,1,51,16.3,14.3,12.2,6.1,3,NA,NA,NA,NA,NA,NA,78.6,2,10.2,9.2,2,70.4,22.4,7.1,2
Cameroon,Northweast,Menchum,238102,3,116670,54763,54763,11905,0,66669,3,4,NA,NA,30.1,46,23.9,4,56.6,17.7,12.4,10.6,2.7,3,NA,NA,NA,NA,NA,NA,48.7,7.1,6.2,38.1,4,7.1,82.3,10.6,2
Cameroon,North West,Mezam,770354,3,408288,192589,154071,15407,0,169478,3,4,NA,NA,7.9,24.9,67.2,2,68.9,17,9.7,3.8,0.6,2,NA,NA,NA,NA,NA,NA,44.3,5.9,14.1,35.8,4,42.8,45.2,12,2
Cameroon,Northwest,Momo,203849,3,65232,50962,50962,36693,0,87655,3,4,NA,NA,45.7,21.3,33,4,51.1,7.4,12.8,12.8,16,4,NA,NA,NA,NA,NA,NA,1,10.4,14.6,74,4,13.5,72.9,13.5,2
Cameroon,Nord-Ouest,Ngo-Ketunjia,275361,2,148695,74347,44058,8261,0,52319,3,1,NA,NA,14.9,54.3,30.9,3,47.9,12.8,16,17,6.4,4,NA,NA,NA,NA,NA,NA,91.5,2.1,3.2,3.2,1,50,40.4,9.6,2
Cameroon,Nord,Benoue,1395352,2,990700,348838,55814,0,0,55814,2,2,NA,NA,11.4,30.1,58.5,3,59.5,12.7,12.1,9.8,5.9,3,NA,NA,NA,NA,NA,NA,74.5,6.5,6.5,12.4,2,69.6,17.6,12.7,2
Cameroon,Nord,Faro,113791,2,78516,25034,9103,1138,0,10241,2,2,NA,NA,9.3,25,65.8,2,64.2,11.6,10.3,8.5,5.4,3,NA,NA,NA,NA,NA,NA,72,10.1,5.6,12.4,2,69.4,23,7.5,2
Cameroon,Nord,Mayo-Louti,640923,1,576831,51274,12818,0,0,12818,1,1,NA,NA,1.1,14.9,83.9,1,77,11.5,9.2,2.3,0,2,NA,NA,NA,NA,NA,NA,88.5,3.4,4.6,3.4,1,94.3,5.7,0,1
Cameroon,Nord,Mayo-Rey,614513,1,510046,73742,30726,0,0,30726,1,1,NA,NA,9.3,25,65.8,2,64.2,11.6,10.3,8.5,5.4,3,NA,NA,NA,NA,NA,NA,72,10.1,5.6,12.4,2,69.4,23,7.5,2
Cameroon,Ouest,Bamboutos,429780,2,300846,107445,21489,0,0,21489,2,2,NA,NA,16.9,28.6,54.5,3,60.8,17.4,12.2,6.1,3.5,3,NA,NA,NA,NA,NA,NA,64.2,15.8,13.5,6.4,2,49.3,45.3,5.4,2
Cameroon,Ouest,Haut-Nkam,212804,2,119170,59585,27665,6384,0,34049,2,3,NA,NA,39.3,39.3,21.4,4,37.6,21.4,23.7,12.7,4.6,3,NA,NA,NA,NA,NA,NA,45.1,24.9,23.1,6.9,3,30.1,59,11,2
Cameroon,Ouest,Hauts-Plateaux,118579,2,87749,23716,7115,0,0,7115,2,2,NA,NA,16.9,28.6,54.5,3,60.8,17.4,12.2,6.1,3.5,3,NA,NA,NA,NA,NA,NA,64.2,15.8,13.5,6.4,2,49.3,45.3,5.4,2
Cameroon,Ouest,Koung-Khi,95567,2,69764,17202,8601,0,0,8601,2,2,NA,NA,16.9,28.6,54.5,3,60.8,17.4,12.2,6.1,3.5,3,NA,NA,NA,NA,NA,NA,64.2,15.8,13.5,6.4,2,49.3,45.3,5.4,2
Cameroon,Ouest,Menoua,420012,2,331809,58802,29401,0,0,29401,2,3,NA,NA,2.4,22.9,74.7,1,60.2,18.1,4.8,4.8,12,3,NA,NA,NA,NA,NA,NA,63.9,14.5,14.5,7.2,3,57.8,41,1.2,2
Cameroon,Ouest,Mifi,443075,2,350030,66461,26585,0,0,26585,2,2,NA,NA,8.6,29.1,62.3,2,64.1,15.9,11.8,6.4,1.8,3,NA,NA,NA,NA,NA,NA,69.1,14.1,8.2,8.6,2,68.6,25.5,5.9,2
Cameroon,Ouest,Nde,139408,2,98979,27882,12547,0,0,12547,2,2,NA,NA,16.9,28.6,54.5,3,60.8,17.4,12.2,6.1,3.5,3,NA,NA,NA,NA,NA,NA,64.2,15.8,13.5,6.4,2,49.3,45.3,5.4,2
Cameroon,Ouest,Noun,668874,2,521722,93642,53510,0,0,53510,2,2,NA,NA,16.9,28.6,54.5,3,60.8,17.4,12.2,6.1,3.5,3,NA,NA,NA,NA,NA,NA,64.2,15.8,13.5,6.4,2,49.3,45.3,5.4,2
Cameroon,Sud-Ouest,Fako,685525,3,260500,274210,130250,20566,0,150816,3,4,NA,NA,18,23.8,58.2,3,70.3,16.8,7.4,3.9,1.6,2,NA,NA,NA,NA,NA,NA,59.4,9,3.9,27.7,4,30.1,52,18,2
Cameroon,Sud-Ouest,Kupe-Manenguba,155178,3,60519,49657,37243,7759,0,45002,3,4,NA,NA,17.7,30.4,51.8,3,67.2,16,7.9,5.3,3.5,2,NA,NA,NA,NA,NA,NA,52.7,9.4,7.8,30.2,4,32.8,51.2,16,2
Cameroon,Sud-Ouest,Lebialem,167167,3,46807,66867,41792,11702,0,53493,3,4,NA,NA,20.9,20.9,58.1,4,81.4,8.1,7,1.2,2.3,1,NA,NA,NA,NA,NA,NA,32.6,4.7,5.8,57,4,38.4,47.7,14,2
Cameroon,Sud-Ouest,Manyu,266088,3,87809,98453,66522,13304,0,79826,3,4,NA,NA,17.7,30.4,51.8,3,67.2,16,7.9,5.3,3.5,2,NA,NA,NA,NA,NA,NA,52.7,9.4,7.8,30.2,4,32.8,51.2,16,2
Cameroon,Sud-Ouest,Meme,480229,3,230510,129662,96046,24011,0,120057,3,4,NA,NA,7.8,29.7,62.5,2,64.8,14.8,10.2,5.5,4.7,3,NA,NA,NA,NA,NA,NA,37.5,7,13.3,42.2,4,10.2,53.9,35.9,3
Cameroon,Sud-Ouest,Ndian,180165,3,70264,63058,41438,5405,0,46843,2,4,NA,NA,33.3,49.5,17.1,4,49.5,15.2,11.4,12.4,11.4,4,NA,NA,NA,NA,NA,NA,59,6.7,14.3,20,4,29.5,66.7,3.8,2
Cameroon,Sud,Dja-Et-Lobo,289476,2,179475,72369,34737,2895,0,37632,3,2,NA,NA,11,39,50,3,49,16,17,14,4,3,NA,NA,NA,NA,NA,NA,79,10,4,7,2,57,35,8,2
Cameroon,Sud,Mvila,263722,2,192517,47470,23735,0,0,23735,2,2,NA,NA,6.5,33.1,60.5,2,47.6,28.2,18.5,3.2,2.4,3,NA,NA,NA,NA,NA,NA,73.4,12.1,10.5,4,2,41.1,50,8.9,2
Cameroon,Sud,Ocean,263228,2,194789,57910,10529,0,0,10529,2,3,NA,NA,7.5,23.8,68.8,2,72.5,17.5,3.8,3.8,2.5,2,NA,NA,NA,NA,NA,NA,50,28.7,3.8,17.5,3,53.8,41.2,5,2
Cameroon,Sud,Vallee-Du-Ntem,116380,2,83794,20948,11638,0,0,11638,2,2,NA,NA,6.9,32.4,60.7,2,57.7,20.1,14,5.8,2.5,3,NA,NA,NA,NA,NA,NA,63.2,20.1,9.3,7.4,2,48.1,42.9,9.1,2
