adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Chad,Barh El Gazal,Bahr El Gazal Nord,94286.1,3,36771.579,33942.996,20742.942,2828.583,0,23571.525,3,3,4,2
Chad,Barh El Gazal,Bahr El Gazal Ouest,82374.5,3,27183.585,34597.29,18122.39,2471.235,0,20593.625,3,3,4,2
Chad,Barh El Gazal,Bahr El Gazal Sud,215265.7,2,131312.077,68885.024,15068.599,0,0,15068.599,2,2,4,2
Chad,Batha,Batha Est,274738.6,3,137369.3,76926.808,57695.106,2747.386,0,60442.492,2,3,4,2
Chad,Batha,Batha Ouest,301198.9,2,228911.164,54215.802,18071.934,0,0,18071.934,2,3,4,2
Chad,Batha,Fitri,168190.4,2,95868.528,47093.312,20182.848,5045.712,0,25228.56,2,2,4,2
Chad,Borkou,Borkou Yala,38411.6,3,18821.684,10755.248,6914.088,1920.58,0,8834.668,3,2,3,2
Chad,Borkou,Borkou,104156.4,2,59369.148,31246.92,11457.204,2083.128,0,13540.332,2,2,3,2
Chad,Chari-Baguirmi,Baguirmi,319493.7,2,198086.094,79873.425,41534.181,0,0,41534.181,2,3,3,2
Chad,Chari-Baguirmi,Chari,278638.5,2,200619.72,61300.47,16718.31,0,0,16718.31,2,2,3,2
Chad,Chari-Baguirmi,Loug-Chari,283053.4,2,206628.982,65102.282,11322.136,0,0,11322.136,2,2,3,2
Chad,Ennedi Est,Am Djarass,42490,2,29318.1,8498,4673.9,0,0,4673.9,1,3,4,1
Chad,Ennedi Est,Wadi Hawar,120977,2,81054.59,27824.71,12097.7,0,0,12097.7,2,3,4,1
Chad,Ennedi Ouest,Fada,59876.6,3,28142.002,16166.682,12574.086,2993.83,0,15567.916,2,4,4,2
Chad,Ennedi Ouest,Mourtcha,32468.7,3,15584.976,8441.862,7143.114,1298.748,0,8441.862,2,4,4,2
Chad,Guera,Abtouyour,255071.2,2,160694.856,63767.8,30608.544,0,0,30608.544,2,3,3,1
Chad,Guera,Barh Signaka,157783.9,2,108870.891,36290.297,12622.712,0,0,12622.712,2,2,3,1
Chad,Guera,Guera,262709.6,2,149744.472,78812.88,34152.248,0,0,34152.248,2,3,3,1
Chad,Guera,Mangalme,144583.5,2,95425.11,36145.875,13012.515,0,0,13012.515,2,2,3,1
Chad,Hajer Lamis,Dababa,348010.6,2,226206.89,87002.65,34801.06,0,0,34801.06,2,3,3,2
Chad,Hajer Lamis,Dagana,286933.6,2,186506.84,80341.408,20085.352,0,0,20085.352,2,3,3,2
Chad,Hajer Lamis,Haraze Al Biar,228620,2,146316.8,57155,25148.2,0,0,25148.2,2,3,3,2
Chad,Kanem,Kanem,225389.3,3,67616.79,90155.72,54093.432,13523.358,0,67616.79,3,3,4,2
Chad,Kanem,Nord Kanem,133849.6,3,36139.392,53539.84,37477.888,6692.48,0,44170.368,4,3,4,2
Chad,Kanem,Wadi-Bissam,131320.2,3,32830.05,59094.09,32830.05,6566.01,0,39396.06,3,3,4,2
Chad,Lac,Fouli,59457.8,3,20215.652,20810.23,14864.45,3567.468,0,18431.918,3,3,3,2
Chad,Lac,Kaya,67385.6,3,21563.392,26954.24,15498.688,3369.28,0,18867.968,2,3,3,2
Chad,Lac,Mamdi,212726,3,76581.36,74454.1,48926.98,12763.56,0,61690.54,3,3,3,2
Chad,Lac,Wayi,321276.1,3,93170.069,128510.44,70680.742,28914.849,0,99595.591,3,3,3,1
Chad,Logone Occidental,Dodje,162034.3,2,105322.295,37267.889,19444.116,0,0,19444.116,2,2,2,3
Chad,Logone Occidental,Gueni,140176.2,2,92516.292,33642.288,14017.62,0,0,14017.62,2,2,2,3
Chad,Logone Occidental,Lac Wey,505008.5,2,338355.695,116151.955,50500.85,0,0,50500.85,1,3,2,3
Chad,Logone Occidental,Ngourkousso,242486.2,2,128517.686,84870.17,29098.344,0,0,29098.344,1,2,2,3
Chad,Logone Oriental,Kouh Est,154398.9,1,128151.087,20071.857,6175.956,0,0,6175.956,1,1,2,3
Chad,Logone Oriental,Kouh Ouest,75432.3,2,49030.995,20366.721,6034.584,0,0,6034.584,1,2,2,3
Chad,Logone Oriental,La Nya Pende,164666.7,2,82333.35,57633.345,24700.005,0,0,24700.005,2,2,2,3
Chad,Logone Oriental,La Nya,214711.1681,2,154592.041,47236.45698,12882.67009,0,0,12882.67009,2,2,2,3
Chad,Logone Oriental,La Pende,244442.3,2,171109.61,61110.575,12222.115,0,0,12222.115,1,2,2,3
Chad,Logone Oriental,Monts De Lam,333611.2,2,200166.72,93411.136,40033.344,0,0,40033.344,2,3,2,3
Chad,Mandoul,Bahr Sara,330965.1,1,278010.684,39715.812,13238.604,0,0,13238.604,1,1,2,1
Chad,Mandoul,Mandoul Occidental,235670.4,1,190893.024,37707.264,7070.112,0,0,7070.112,1,1,2,1
Chad,Mandoul,Mandoul Oriental,390172.9,1,319941.778,54624.206,15606.916,0,0,15606.916,1,1,2,1
Chad,Mayo Kebbi Est,Kabbia,348610.9,1,289347.047,45319.417,13944.436,0,0,13944.436,1,1,3,2
Chad,Mayo Kebbi Est,Mayo-Boneye,359479,2,248040.51,82680.17,28758.32,0,0,28758.32,1,2,3,1
Chad,Mayo Kebbi Est,Mayo-Lemie,124998.3,2,81248.895,31249.575,12499.83,0,0,12499.83,1,2,3,2
Chad,Mayo Kebbi Est,Mont Illi,347232.2,1,291675.048,45140.186,10416.966,0,0,10416.966,1,1,3,2
Chad,Mayo-Kebbi Ouest,Lac Lere,266330.8,1,229044.488,29296.388,7989.924,0,0,7989.924,1,1,2,2
Chad,Mayo-Kebbi Ouest,Mayo-Binder,83637.4,1,72764.538,9200.114,1672.748,0,0,1672.748,1,1,2,1
Chad,Mayo-Kebbi Ouest,Mayo-Dallah,509958.1,1,418165.642,81593.296,10199.162,0,0,10199.162,1,1,2,1
Chad,Moyen Chari,Bahr Koh,467347.9,1,392572.236,60755.227,14020.437,0,0,14020.437,1,2,2,1
Chad,Moyen Chari,Grande Sido,163064.1,1,133712.562,21198.333,8153.205,0,0,8153.205,1,2,1,1
Chad,Moyen Chari,Lac Iro,265372.6,1,217605.532,34498.438,13268.63,0,0,13268.63,1,2,1,1
Chad,Ouaddai,Assoungha,435147.4,3,230628.122,108786.85,91380.954,4351.474,0,95732.428,2,3,3,3
Chad,Ouaddai,Djourouf Al Ahmar,124201.6,2,89425.152,27324.352,7452.096,0,0,7452.096,1,2,3,3
Chad,Ouaddai,Ouara,500668.2,2,335447.694,140187.096,25033.41,0,0,25033.41,1,3,3,3
Chad,Salamat,Aboudeia,98533.4,3,43354.696,29560.02,22662.682,2956.002,0,25618.684,2,3,4,3
Chad,Salamat,Bahr Azoum,277578.2,3,130461.754,80497.678,63842.986,2775.782,0,66618.768,2,3,4,3
Chad,Salamat,Haraze Mangueigne,87429,2,64697.46,19234.38,3497.16,0,0,3497.16,2,NA,4,3
Chad,Sila,Abdi,162825,2,128631.75,26052,8141.25,0,0,8141.25,2,2,3,3
Chad,Sila,Kimiti,466065,2,330906.15,102534.3,27963.9,4660.65,0,32624.55,2,2,3,3
Chad,Tandjile,Tandjile Centre,134072,2,100554,25473.68,8044.32,0,0,8044.32,1,3,2,1
Chad,Tandjile,Tandjile Est,387917,2,224991.86,104737.59,58187.55,0,0,58187.55,1,3,2,1
Chad,Tandjile,Tandjile Ouest,486374,2,369644.24,87547.32,29182.44,0,0,29182.44,1,2,2,1
Chad,Tibesti,Tibesti Est,21917.5,3,12712.15,4602.675,3506.8,1095.875,0,4602.675,2,3,4,4
Chad,Tibesti,Tibesti Ouest,16903.9,3,9635.223,3549.819,2704.624,1014.234,0,3718.858,2,3,4,4
Chad,Wadi Fira,Biltine,257534.6,3,141644.03,64383.65,51506.92,0,0,51506.92,2,3,4,1
Chad,Wadi Fira,Dartama,273271.5,3,120239.46,81981.45,54654.3,16396.29,0,71050.59,3,3,4,1
Chad,Wadi Fira,Iriba,212561.6,3,93527.104,63768.48,42512.32,12753.696,0,55266.016,3,3,4,1
Chad,Wadi Fira,Megri,31114.4,2,23335.8,4667.16,2489.152,622.288,0,3111.44,2,2,4,1
